iter	Passed	Remaining
0	79	24089
1	90	13690
2	94	9548
3	99	7461
4	109	6572
5	113	5678
6	118	5035
7	122	4547
8	126	4168
9	130	3862
10	135	3618
11	139	3405
12	144	3237
13	148	3085
14	153	2958
15	157	2841
16	162	2745
17	166	2653
18	170	2570
19	175	2495
20	179	2424
21	183	2359
22	187	2300
23	191	2246
24	196	2195
25	200	2147
26	204	2104
27	208	2062
28	212	2024
29	217	1989
30	221	1954
31	225	1923
32	229	1892
33	233	1863
34	237	1834
35	242	1810
36	247	1789
37	250	1763
38	255	1740
39	259	1718
40	263	1699
41	268	1680
42	273	1665
43	277	1645
44	281	1628
45	287	1616
46	291	1599
47	295	1582
48	299	1567
49	304	1551
50	308	1536
51	312	1521
52	317	1509
53	321	1495
54	325	1481
55	330	1468
56	335	1458
57	339	1445
58	343	1432
59	347	1420
60	352	1408
61	356	1396
62	360	1385
63	364	1373
64	369	1365
65	374	1355
66	378	1343
67	382	1333
68	386	1322
69	391	1313
70	395	1303
71	399	1294
72	404	1284
73	408	1276
74	413	1266
75	417	1259
76	422	1249
77	426	1240
78	430	1232
79	435	1224
80	439	1216
81	444	1207
82	448	1199
83	452	1190
84	456	1182
85	461	1174
86	465	1167
87	470	1159
88	474	1152
89	480	1147
90	484	1140
91	489	1132
92	493	1125
93	497	1117
94	502	1111
95	507	1103
96	511	1096
97	515	1088
98	519	1081
99	523	1073
100	527	1065
101	531	1058
102	536	1051
103	540	1044
104	544	1036
105	554	1040
106	558	1033
107	568	1037
108	576	1036
109	584	1036
110	588	1029
111	596	1027
112	605	1028
113	611	1023
114	615	1017
115	620	1010
116	624	1004
117	630	999
118	635	993
119	640	987
120	644	980
121	649	973
122	653	967
123	657	960
124	663	955
125	667	948
126	673	944
127	678	937
128	682	931
129	686	924
130	690	917
131	695	911
132	699	905
133	704	898
134	708	892
135	712	885
136	717	879
137	721	873
138	725	867
139	730	860
140	736	856
141	740	849
142	744	843
143	748	837
144	752	830
145	758	825
146	762	819
147	767	813
148	771	807
149	775	801
150	779	794
151	783	788
152	787	782
153	792	776
154	796	770
155	800	764
156	804	758
157	808	752
158	814	747
159	818	741
160	822	735
161	826	729
162	830	723
163	835	718
164	839	712
165	843	706
166	848	701
167	852	695
168	857	689
169	861	684
170	865	678
171	869	672
172	875	668
173	879	662
174	884	656
175	888	651
176	892	645
177	896	639
178	900	634
179	905	628
180	909	623
181	913	617
182	918	612
183	922	606
184	928	602
185	933	597
186	937	591
187	941	586
188	946	580
189	950	575
190	954	569
191	958	564
192	963	558
193	967	553
194	976	550
195	980	545
196	985	540
197	989	534
198	993	529
199	997	523
200	1001	518
201	1006	513
202	1010	507
203	1014	502
204	1018	497
205	1023	491
206	1027	486
207	1032	481
208	1037	476
209	1041	471
210	1045	465
211	1049	460
212	1053	455
213	1057	449
214	1062	444
215	1066	439
216	1075	435
217	1080	431
218	1084	425
219	1089	420
220	1093	415
221	1097	410
222	1102	405
223	1106	400
224	1110	394
225	1115	389
226	1119	384
227	1124	379
228	1128	374
229	1132	369
230	1136	364
231	1140	358
232	1144	353
233	1149	348
234	1153	343
235	1157	338
236	1162	333
237	1166	328
238	1171	323
239	1175	318
240	1180	313
241	1184	308
242	1189	303
243	1194	298
244	1198	293
245	1202	288
246	1207	283
247	1211	278
248	1215	273
249	1220	268
250	1224	263
251	1228	258
252	1232	253
253	1237	248
254	1242	243
255	1246	238
256	1251	233
257	1255	228
258	1260	223
259	1266	219
260	1271	214
261	1275	209
262	1279	204
263	1284	199
264	1288	194
265	1292	189
266	1297	184
267	1301	179
268	1305	174
269	1309	169
270	1313	164
271	1318	159
272	1322	155
273	1326	150
274	1330	145
275	1341	140
276	1356	137
277	1370	133
278	1383	128
279	1394	124
280	1430	122
281	1457	118
282	1468	114
283	1492	110
284	1511	106
285	1523	101
286	1534	96
287	1538	90
288	1544	85
289	1548	80
290	1553	74
291	1558	69
292	1562	64
293	1572	58
294	1576	53
295	1586	48
296	1591	42
297	1602	37
298	1607	32
299	1617	26
300	1621	21
301	1626	16
302	1631	10
303	1639	5
304	1643	0
